customer_id,customer_type,specialty,practice_size,monthly_patient_volume,scheduling_need,patient_communication_need,analytics_need,claims_automation_need,practice_management_need,willingness_to_pay,price_sensitivity
C00001,Small Practice,Therapy,2,306,0.965,0.709,0.296,0.825,0.233,98.73,0.684
C00002,Solo Provider,Psychology,1,137,0.815,0.694,0.542,0.373,0.342,64.24,0.723
C00003,Group Practice,Therapy,10,1536,0.977,0.603,0.281,0.857,0.597,173.77,0.437
C00004,Small Practice,Psychology,3,540,0.991,0.659,0.234,0.592,0.585,94.94,0.666
C00005,Solo Provider,Psychology,1,157,0.551,0.485,0.693,0.5,0.116,64.41,0.838
C00006,Large Practice,Therapy,38,4300,0.547,0.458,1.0,0.998,1.0,322.49,0.324
C00007,Small Practice,Psychiatry,4,302,0.669,0.86,0.722,0.34,0.391,127.76,0.734
C00008,Small Practice,Therapy,4,541,0.581,0.88,0.519,0.726,0.54,117.23,0.524
C00009,Solo Provider,Psychology,1,156,0.697,0.606,0.229,0.628,0.399,62.27,0.708
C00010,Solo Provider,Psychiatry,1,81,0.723,0.549,0.465,0.215,0.57,52.51,0.802
C00011,Solo Provider,Psychiatry,1,155,0.854,0.75,0.497,0.659,0.497,70.83,0.819
C00012,Group Practice,Therapy,9,654,0.763,0.901,0.57,0.859,0.568,209.22,0.488
C00013,Small Practice,Psychiatry,2,580,0.952,0.506,0.809,0.51,0.352,107.76,0.434
C00014,Group Practice,Psychiatry,13,1392,0.761,0.441,0.915,0.75,0.926,212.66,0.348
C00015,Solo Provider,Therapy,1,111,0.43,0.687,0.37,0.436,0.291,46.34,0.709
C00016,Solo Provider,Counseling,1,96,0.717,0.859,0.509,0.71,0.146,76.69,0.757
C00017,Small Practice,Psychiatry,3,478,0.571,0.818,0.415,0.404,0.477,94.65,0.651
C00018,Solo Provider,Therapy,1,82,0.616,0.457,0.406,0.699,0.405,73.96,0.896
C00019,Group Practice,Psychology,10,969,0.453,0.483,0.499,0.493,0.677,199.12,0.547
C00020,Small Practice,Psychiatry,2,526,0.94,0.936,0.445,0.605,0.572,106.14,0.644
C00021,Small Practice,Psychiatry,5,203,0.346,0.663,0.419,0.377,0.503,111.82,0.505
C00022,Solo Provider,Psychology,1,94,0.64,0.639,0.286,0.64,0.396,72.77,0.826
C00023,Large Practice,Therapy,26,1884,0.472,0.822,0.943,0.721,0.879,303.16,0.426
C00024,Group Practice,Psychology,11,1040,0.477,0.413,0.568,0.881,0.439,169.23,0.39
C00025,Small Practice,Therapy,2,386,0.698,0.42,0.643,0.499,0.758,125.45,0.533
C00026,Solo Provider,Therapy,1,131,0.909,0.576,0.406,0.355,0.232,62.92,0.8
C00027,Solo Provider,Therapy,1,88,1.0,0.603,0.475,0.406,0.328,66.87,0.764
C00028,Solo Provider,Therapy,1,88,0.698,0.795,0.499,0.632,0.367,67.31,0.823
C00029,Solo Provider,Psychiatry,1,142,0.748,0.622,0.437,0.493,0.373,59.98,0.794
C00030,Small Practice,Counseling,3,260,0.824,0.971,0.404,0.649,0.118,83.62,0.733
C00031,Small Practice,Counseling,5,309,0.75,0.538,0.411,0.478,0.549,106.1,0.557
C00032,Large Practice,Therapy,39,4326,0.823,0.803,0.76,1.0,0.96,310.34,0.324
C00033,Solo Provider,Counseling,1,78,0.756,1.0,0.484,0.434,0.333,85.75,0.653
C00034,Solo Provider,Psychology,1,179,0.543,0.467,0.467,0.67,0.195,62.69,0.911
C00035,Solo Provider,Psychology,1,63,0.56,0.566,0.727,0.276,0.258,65.56,0.895
C00036,Solo Provider,Counseling,1,95,0.845,0.832,0.515,0.408,0.299,51.52,0.828
C00037,Solo Provider,Psychiatry,1,157,0.899,0.956,0.43,0.573,0.546,93.14,0.996
C00038,Solo Provider,Psychiatry,1,132,0.653,0.74,0.391,0.815,0.612,73.39,0.718
C00039,Solo Provider,Psychology,1,69,0.588,0.615,0.431,0.674,0.235,46.26,0.538
C00040,Small Practice,Psychology,3,337,0.602,0.684,0.333,0.33,0.265,87.66,0.538
C00041,Solo Provider,Psychology,1,97,0.803,0.472,0.411,0.419,0.489,79.37,0.785
C00042,Group Practice,Therapy,6,1113,0.693,0.546,0.356,0.561,0.718,165.44,0.365
C00043,Small Practice,Counseling,4,397,0.481,0.508,0.443,0.479,0.388,92.38,0.485
C00044,Solo Provider,Psychiatry,1,128,0.775,0.406,0.412,0.562,0.251,45.67,0.834
C00045,Group Practice,Counseling,6,625,0.755,0.66,0.709,0.516,0.365,187.57,0.587
C00046,Group Practice,Psychiatry,15,1369,0.683,0.838,0.663,0.781,0.737,199.3,0.394
C00047,Solo Provider,Therapy,1,73,0.517,0.472,0.367,0.67,0.512,73.4,0.875
C00048,Solo Provider,Counseling,1,165,0.762,0.7,0.526,0.593,0.157,53.69,0.721
C00049,Small Practice,Psychology,3,246,0.948,0.26,0.73,0.551,0.556,124.71,0.701
C00050,Solo Provider,Therapy,1,96,0.495,0.631,0.542,0.475,0.467,60.27,0.793
C00051,Solo Provider,Therapy,1,171,0.537,0.579,0.496,0.179,0.251,51.1,0.6
C00052,Solo Provider,Therapy,1,66,0.522,0.777,0.892,0.759,0.388,59.26,0.886
C00053,Small Practice,Therapy,5,225,0.704,0.722,0.689,0.463,0.469,107.77,0.666
C00054,Small Practice,Counseling,3,193,0.572,0.7,0.524,0.461,0.504,110.88,0.753
C00055,Small Practice,Therapy,5,421,0.715,0.486,0.539,0.406,0.632,121.88,0.728
C00056,Small Practice,Therapy,2,206,0.659,0.573,0.741,0.496,0.183,99.64,0.751
C00057,Solo Provider,Counseling,1,144,0.926,0.694,0.462,0.771,0.137,58.2,0.741
C00058,Small Practice,Counseling,4,310,0.831,0.55,0.646,0.614,0.513,100.52,0.604
C00059,Solo Provider,Therapy,1,131,0.838,0.641,0.36,0.308,0.399,63.44,0.745
C00060,Solo Provider,Psychology,1,165,0.664,0.57,0.509,0.606,0.663,92.56,0.876
C00061,Small Practice,Psychology,3,246,0.46,0.647,0.624,0.655,0.586,122.1,0.396
C00062,Solo Provider,Psychology,1,88,0.468,0.78,0.49,0.577,0.518,52.39,0.843
C00063,Small Practice,Psychiatry,5,216,0.457,0.767,0.735,0.349,0.339,98.74,0.562
C00064,Small Practice,Counseling,3,576,0.634,0.767,0.655,0.723,0.236,121.99,0.789
C00065,Small Practice,Counseling,5,541,0.607,0.622,0.412,0.393,0.275,110.17,0.651
